,firm_name,crno,brno,ticker
462,비덴트,1101112476376.0,107-86-14610,121800
463,에스바이오메딕스,1101112838477.0,211-87-56314,304360
464,에이블씨엔씨,1101111846174.0,119-81-34685,078520
465,KPX케미칼,1101110166903.0,110-81-33923,025000
466,제테마,1358110168568.0,135-86-03665,216080
467,시너지이노베이션,1101111530959.0,120-81-79246,048870
468,미래나노텍,1101112577885.0,214-87-17187,095500
469,인트로메딕,1101113078907.0,220-86-91337,150840
470,슈프리마,1311110433589.0,431-87-00369,236200
471,서흥,1243110004252.0,130-81-00576,008490
472,진성티이씨,1348110002155.0,124-81-30717,036890
473,유니슨,1101110382020.0,120-81-30898,018000
474,오리엔탈정공,1801110038447.0,603-81-05967,014940
475,펨트론,1101112422379.0,214-87-03174,168360
476,피에이치에이,1701110021006.0,503-81-06628,043370
477,티엘비,1314110255979.0,134-86-77072,356860
478,인터로조,1313110033856.0,125-81-34657,119610
479,삼일제약,1101110016679.0,114-81-16848,000520
480,포스코스틸리온,1746110006492.0,506-81-05517,058430
481,환인제약,1101110339542.0,215-81-36171,016580
482,한중엔시에스,1701110090291.0,505-81-23526,107640
483,무학,1901110002721.0,608-81-07131,033920
484,더블유씨피,1511110058698.0,704-88-00570,393890
485,대원산업,1301110007533.0,134-81-04254,005710
486,엣지파운드리,1601110207244.0,314-81-82384,105550
487,나우로보틱스,1201110845638.0,439-88-00375,459510
488,국전약품,1101116868529.0,116-87-01173,307750
489,파멥신,1601110247141.0,314-86-00316,208340
490,앱클론,1101114379213.0,113-86-40428,174900
491,이월드,1701110290867.0,503-81-68487,084680
492,대원강업,1101110015556.0,104-81-15560,000430
493,풍원정밀,1350110049673.0,134-81-30029,371950
494,대양전기공업,1801110081389.0,603-81-09788,108380
495,아스트,1954110007168.0,613-81-24511,067390
496,TYM,1101110032899.0,106-81-28552,002900
497,윤성에프앤씨,1355110102249.0,134-81-50350,372170
498,사피엔반도체,2301110281186.0,384-87-00893,452430
499,브릿지바이오테라퓨틱스,1311110423499.0,224-87-00169,288330
500,이연제약,1101110048143.0,106-81-00516,102460
501,세경하이테크,1345110097540.0,135-81-83418,148150
502,삼영전자,1311110000205.0,129-81-00372,005680
503,성신양회,1101110072928.0,101-81-18194,004980
504,한농화성,2111110001090.0,401-81-01273,011500
505,LB세미콘,1311110046291.0,129-81-32684,061970
506,아미코젠,1911110019783.0,613-81-21213,092040
507,제일약품,1101116420361.0,628-88-00669,271980
508,하이비젼시스템,1101114324127.0,104-86-27794,126700
509,모트렉스,1101112341850.0,108-81-50292,118990
510,퍼스텍,1942110000133.0,609-81-01805,010820
511,동성케미컬,1801110633031.0,603-81-68642,102260
512,알루코,1601110002313.0,306-81-01212,001780
513,대원전선,1348110001181.0,124-81-05047,006340
514,티로보틱스,1311110126936.0,129-81-78206,117730
515,아나패스,1101112663436.0,107-86-27134,123860
516,SK시그넷,2058110018148.0,367-88-00497,260870
517,에치에프알,1101115855973.0,209-87-00272,230240
518,해태제과식품,1615110044225.0,312-81-49680,101530
519,삼양패키징,1101115554418.0,101-86-93655,272550
520,이수앱지스,1101112203951.0,110-81-50558,086890
521,유니셈,1348110024878.0,124-81-42101,036200
522,하나제약,1311110002409.0,124-81-37632,293480
523,티엑스알로보틱스,1211110330000.0,611-88-00754,484810
